Name,Season,Gender,Age,Height,Entered,Finalist,Loyalty
Omar Sultani,1,True,22,67,1,False,0.1
Tina Stinnes,2,False,21,65,20,False,0.1
Jamie Jewitt,3,True,27,73,32,True,0.05
Ched Uzor,6,True,23,76,23,True,0.05
Adam Collard,8,True,26,77,36,False,0.05
Naomi Ball,1,False,23,62,7,False,0.047619047619047616
Zara Holland,2,False,20,63,1,False,0.14285714285714285
Yewande Biala,5,False,23,67,1,False,0.09523809523809523
Rebecca Gormley,6,False,21,67,9,False,0.14285714285714285
Sophie Piper,6,False,21,67,1,False,0.14285714285714285
Chloe Crowhurst,3,False,22,64,1,False,0.13636363636363635
Sam Gowland,3,True,21,70,1,False,0.22727272727272727
Claudia Fogarty,9,False,28,64,23,False,0.09090909090909091
Mary Bedford,7,False,22,68,29,False,0.13043478260869565
Deji Adeniyi,8,True,22,72,26,False,0.13043478260869565
Tanyel Revan,9,False,26,63,1,False,0.08695652173913043
Malin Andersson,2,False,23,67,1,False,0.08333333333333333
Alex Beattie,3,True,22,74,26,False,0.041666666666666664
Eyal Booker,4,True,22,70,1,False,0.08333333333333333
Tyla Carr,3,False,23,68,19,False,0.16
Jay Younger,8,True,28,71,9,False,0.15384615384615385
Max Morley,1,True,22,74,14,True,0.037037037037037035
Alex Bowen,2,True,24,71,18,True,0.037037037037037035
Dom Lever,3,True,26,70,1,False,0.1111111111111111
Jack Fowler,4,True,22,75,26,False,0.07407407407407407
Demi Jones,6,False,21,63,16,True,0.07407407407407407
Aaron Francis,7,True,24,74,1,False,0.14814814814814814
Ellie Brown,4,False,20,69,15,False,0.07142857142857142
Sam Bird,4,True,25,71,19,False,0.10714285714285714
Nas Majeed,6,True,23,67,1,False,0.13793103448275862
Sanam Harrinanan,9,False,24,66,29,True,0.034482758620689655
Belle Hassan,5,False,21,68,26,False,0.03333333333333333
Danny Williams,5,True,21,73,6,False,0.1
Jacques O'Neill,8,True,23,69,7,False,0.06666666666666667
Adam Collard,4,True,22,77,1,False,0.12903225806451613
Luke Mabbott,6,True,24,71,12,True,0.0967741935483871
Luke Trotman,6,True,22,70,12,True,0.06451612903225806
Tom Powell,2,True,24,72,1,False,0.03125
Ovie Soko,5,True,28,79,26,True,0.09375
Shaughna Phillips,6,False,25,64,1,False,0.03125
Kazimir Crossley,4,False,23,63,26,True,0.030303030303030304
Jordan Ring,1,True,31,76,1,False,0.11764705882352941
Zoe Basia Brown,1,False,24,70,1,False,0.08823529411764706
Adam Maxted,2,True,24,75,11,True,0.14705882352941177
Jonny Mitchell,3,True,26,70,4,False,0.08823529411764706
Casey O'Gorman,9,True,26,72,17,False,0.08823529411764706
Lucie Donlan,5,False,21,65,1,False,0.08571428571428572
Tyler Cruickshank,7,True,26,77,23,True,0.05714285714285714
Amy Hart,5,False,26,66,1,False,0.05555555555555555
Callum Jones,6,True,23,69,1,False,0.05405405405405406
Hugo Hammond,7,True,24,71,1,False,0.10810810810810811
Sophie Gradon,2,False,30,67,1,False,0.05263157894736842
Terry Walsh,2,True,28,74,3,False,0.05263157894736842
Jordan Hames,5,True,24,72,14,False,0.02631578947368421
Finley Tapp,6,True,20,73,5,True,0.02631578947368421
Samira Mighty,4,False,22,65,1,False,0.07692307692307693
Danica Taylor,8,False,21,63,12,False,0.15384615384615385
Hannah Elizabeth,1,False,25,68,1,True,0.025
Jessica Hayes,1,False,22,65,1,True,0.1
Jon Clark,1,True,25,70,1,True,0.025
Josh Ritchie,1,True,20,69,1,True,0.075
Lauren Richardson,1,False,26,68,1,True,0.1
Luis Morrison,1,True,20,75,1,True,0.1
Mike Boateng,6,True,24,71,1,False,0.075
Kady McDermott,2,False,20,64,3,True,0.023809523809523808
Jess Gale,6,False,20,65,1,True,0.07142857142857142
Paige Turley,6,False,22,61,1,True,0.047619047619047616
Siannise Fudge,6,False,25,65,1,True,0.07142857142857142
Georgia Steel,4,False,20,66,4,False,0.06976744186046512
Cara De La Hoyde,2,False,26,62,1,True,0.022727272727272728
Nathan Massey,2,True,25,67,1,True,0.022727272727272728
Olivia Buckland,2,False,22,64,1,True,0.09090909090909091
Olivia Hawkins,9,False,27,64,1,False,0.11363636363636363
Samie Elishi,9,False,22,64,14,True,0.045454545454545456
Gabby Allen,3,False,25,61,7,True,0.022222222222222223
Teddy Soares,7,True,26,72,12,True,0.021739130434782608
Chris Hughes,3,True,24,72,4,True,0.041666666666666664
Maura Higgins,5,False,28,66,10,True,0.08333333333333333
Michael Griffiths,5,True,27,70,1,False,0.08333333333333333
Montana Brown,3,False,21,67,1,False,0.10204081632653061
Millie Court,7,False,24,67,9,True,0.02040816326530612
Jessie Wynter,9,False,26,66,7,False,0.02040816326530612
Amber Davies,3,False,20,62,1,True,0.0784313725490196
Camilla Thurlow,3,False,27,63,1,True,0.0784313725490196
Kem Cetinay,3,True,21,67,1,True,0.0784313725490196
Marcel Somerville,3,True,31,74,1,True,0.058823529411764705
Olivia Attwood,3,False,26,71,1,True,0.0784313725490196
Josh Denzel,4,True,26,70,8,True,0.0392156862745098
Megan Barton Hanson,4,False,24,65,8,True,0.058823529411764705
Anna Vakili,5,False,28,69,1,False,0.058823529411764705
Jake Cornish,7,True,24,71,1,False,0.018867924528301886
Liberty Poole,7,False,21,63,1,False,0.018867924528301886
Molly-Mae Hague,5,False,20,64,4,True,0.018518518518518517
Liam Reardon,7,True,21,78,4,True,0.037037037037037035
Anton Danyluk,5,True,24,69,1,False,0.09090909090909091
Ekin-Su Culculoglu,8,False,27,68,3,True,0.05454545454545454
Paige Thorne,8,False,24,65,1,False,0.07272727272727272
Will Young,9,True,23,75,1,False,0.05454545454545454
Alex George,4,True,27,73,1,False,0.07142857142857142
Scott Thomas,2,True,28,75,1,True,0.03508771929824561
Amber Gill,5,False,21,64,1,True,0.08771929824561403
Curtis Pritchard,5,True,23,73,1,True,0.05263157894736842
Tommy Fury,5,True,20,72,1,True,0.017543859649122806
Chloe Burrows,7,False,25,67,1,True,0.05263157894736842
Faye Winter,7,False,26,67,1,True,0.07017543859649122
Kaz Kamwi,7,False,26,63,1,True,0.07017543859649122
Toby Aromolaran,7,True,22,71,1,True,0.07017543859649122
Andrew Le Page,8,True,27,73,1,True,0.03508771929824561
Dami Hope,8,True,26,71,1,True,0.05263157894736842
Davide Sanclimenti,8,True,27,74,1,True,0.05263157894736842
Gemma Owen,8,False,19,66,1,True,0.05263157894736842
Indiyah Polack,8,False,23,63,1,True,0.05263157894736842
Luca Bish,8,True,23,71,1,True,0.05263157894736842
Tasha Ghouri,8,False,23,67,1,True,0.03508771929824561
Kai Fagan,9,True,24,76,1,True,0.08771929824561403
Lana Jenkins,9,False,25,65,1,True,0.07017543859649122
Ron Hall,9,True,25,73,1,True,0.05263157894736842
Shaq Muhammad,9,True,24,72,1,True,0.017543859649122806
Tanya Manhenga,9,False,22,64,1,True,0.03508771929824561
Tom Clare,9,True,23,77,1,True,0.05263157894736842
Dani Dyer,4,False,21,61,1,True,0.017241379310344827
Jack Fincham,4,True,26,70,1,True,0.017241379310344827
Laura Anderson,4,False,29,66,1,True,0.05172413793103448
Wes Nelson,4,True,20,70,1,True,0.034482758620689655
